Country	value
Afghanistan	0.081268727
Albania	0.166706099
Algeria	0.171691998
Andorra	0.245325223
Angola	0.225320162
Antarctica	0.905165478
Antigua & Barbuda	0
Argentina	1.118316847
Armenia	0.40427544
Australia	0.727945835
Austria	0.95763459
Azerbaijan	0.203411725
Bahamas	0.058724382
Bahrain	0.217339641
Bangladesh	0.274609846
Barbados	0.174901492
Belgium	1.0699599
Belize	0.342016923
Benin	0.193276403
Bermuda	0.495279224
Bhutan	0
Bolivia	0.163611312
Bophuthatswana	0
Bosnia & Herzegovina	0.235132561
Botswana	0.171607371
Brazil	0.76733187
Brunei	0.281583063
Bulgaria	0.760707134
Burkina Faso	0.169600618
Burma	0.295679837
Burundi	0
Byelarus	0.625153078
Cambodia	0.106749894
Cameroon	0.350238342
Canada	1.01863789
Cape Verde	0.249998084
Central African Republic	0.074999425
Ceylon	0
Chad	0.244184175
Chile	0.780238073
China	0.617396225
Ciskei	0.596586338
Colombia	0.321373912
Comoros	0
Congo	0.158565507
Cook Islands	0.285323901
Costa Rica	0.503137194
Crimea	0
Croatia	0.526435485
Cuba	0.869316871
Cyprus	0.338887136
Czech Republic	0.763681968
Czechoslovakia	0.585756765
Dahomey	1.749986591
Democratic Republic of the Congo	0.24810774
Denmark	1.144911184
Djibouti	0
Dominica	0.437496648
Dominican Republic	0.164446665
Ecuador	0.277275879
Egypt	0.460646169
El Salvador	0.194683304
Equatorial Guinea	0
Eritrea	0.065460845
Estonia	0.820949996
Ethiopia	0.123545565
Federated States of Micronesia	0
Fiji	0.142841099
Finland	0.902628911
France	1.095849546
French-Guiana	0.169962726
French-Polynesia	0.353334365
Gabon	0.385864326
Gambia	0.384788623
Georgia	0.391661877
Germany	1.105603212
Ghana	0.172167461
Gilbert & Ellice Islands	0
Greece	0.612535063
Grenada	0.252942387
Guadeloupe	0.203336694
Guatemala	0.094054654
Guinea	0.249658413
Guinea-Bissau	0.045651824
Guyana	0
Haiti	0.118375643
Honduras	0.096065138
Hong-Kong	0.577738143
Hungary	1.129896114
Iceland	0.425426655
India	0.75201293
Indonesia	0.276948902
Iran	0.340367848
Iraq	0.296239926
Ireland	0.803830355
Israel	1.191793264
Italy	0.957361915
Ivory Coast	0.225543546
Jamaica	0.360696634
Japan	1.34365942
Jordan	0.277080547
Kazakhstan	0.213930079
Kenya	0.248515666
Khmer Republic	0
Kiribati	0
Kuwait	0.35276298
Kyrgyzstan	0.160059749
Laos	0.0495903
Latvia	0.595593334
Lebanon	0.436593351
Lesotho	0.099809121
Liberia	0.167551908
Libya	0.277621029
Liechtenstein	0.156915962
Lithuania	0.571121126
Luxembourg	0.904645567
Macau	0
Macedonia	0.359511667
Madagascar	0.131321951
Malawi	0.130327712
Malaysia	0.323963899
Maldives	0
Mali	0.207469242
Malta	0.766705959
Marshall Islands	0.336535883
Mauritania	0.164747692
Mauritius	0.328122486
Mexico	0.583331568
Moldova	0.200307331
Monaco	0.538457413
Mongolia	0.498146714
Montenegro	0.173134138
Morocco	0.220830362
Mozambique	0.179861583
Namibia	0.09400107
Nauru	0
Nepal	0.429732572
Netherlands	0.98483044
Netherlands-Antilles	0.170453239
New Zealand	0.618503222
New-Caledonia	0.165718427
Nicaragua	0.258520746
Niger	0.111543055
Nigeria	0.261115612
Niue	0
North Korea	0.479647487
Norway	0.753564378
Oman	0.304674497
Pakistan	0.455351123
Palau	0.145832216
Palestine	0.370460871
Panama	0.268507441
Papua New Guinea	0.207846568
Paraguay	0.355260436
People's Democratic Republic of Yemen	0
People's Republic of Congo	0
Peru	0.193846919
Philippines	0.284358011
Poland	0.879568585
Portugal	0.783991149
Qatar	0.30442685
Republic of Kosovo	0.339803222
Republic of Serbia	0.415056189
Reunion	0.573882242
Rhodesia	8.749932954
Romania	0.363252078
Russia	0.763370231
Rwanda	0.139924301
Saint-Vincent-et-les-Grenadines	1.749986591
Samoa	0.14747078
San Marino	0.209998391
Sao Tome & Principe	0
Saudi Arabia	0.456985746
Senegal	0.138551007
Senegambia	0.249552455
Serbia and Montenegro	0.44091756
Seychelles	0.142146925
Sierra Leone	0.143311004
Singapore	0.763774436
Slovakia	0.685131601
Slovenia	0.677800503
Solomon Islands	0
Somalia	0.530298967
South Africa	0.401663476
South Korea	0.898221224
South Sudan	0
Spain	0.849604989
Sri Lanka	0.247051498
St-Kitts & Nevis	1.068305768
St-Lucia	0.564511803
Sudan	0.201949774
Suriname	0.134614353
Swaziland	0.098807273
Sweden	1.26631807
Switzerland	1.192027962
Syria	0.17075564
Taiwan	0.575847843
Tajikistan	0.119862095
Tanzania	0.104211817
Thailand	0.555336161
Togo	0.12372254
Tonga	0.423383853
Transkei	0
Trinidad and Tobago	0.241168017
Tunisia	0.538840557
Turkey	0.32632928
Turkmenistan	0.176766322
Tuvalu	0
Uganda	0.122847128
Ukraine	0.277328529
Union of Soviet Socialist Republics	0.989937735
United Arab Emirates	0.485143235
United Arab Republic	0.403507502
United Kingdom	1.036581101
United States	1.230606798
Uruguay	1.245816386
Uzbekistan	0.260619107
Vanuatu	0.067480203
Vatican	0
Venda	0
Venezuela	0.596122845
Vietnam	0.293064324
Western Sahara	0
Yemen	0.232710983
Yemen Arab Republic	0
Yugoslavia	0.661220016
Zaire	0.158063305
Zambia	0.064035914
Zimbabwe	0.224990437
